Category/tQuestion	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Animals	We’ve seen these animals as friendly and approachable but the truth is that they’re unpredictable. What is the average number of fatalities a year elephants cause?	150-200	20-40	300-500	1000-1500	300-500
Animals	Hippopotamuses may seem slow, lazy and bulky but in fact are one of the most dangerous African animals. Which of the following should you avoid in order to prevent a hippopotamus attack?	Standing between the hippopotamus and its calf	All of these	Surprising the hippopotamus	Blocking the hippopotamus’ way	All of these
Animals	Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?	1000-1500	50-100	100-200	600-800	600-800
Animals	If you happen to be near a big cat (e.g. lion, tiger, lynx) that seems to be about to attack you, which of the following shouldn’t you do in any case?	Scream and shout	Try to look larger than you really are	Turn back and run	Stare at its eyes	Turn back and run
Animals	Although only a small percent of scorpions are venomous to people, 800 to 2000 human deaths each year are caused by scorpions. During which part of the day are these creatures most active?	Morning	All day	Noon	Night	Night
Animals	Which of the following statements about snakes is not true?	Snakes can strike upto half their length.	A fully grown king cobra can rear up so it looks a human in the eyes.	Not all venomous snakes are capable of killing a man.	Snakes will attack almost always they sense the presence of a human.	Snakes will attack almost always they sense the presence of a human.
Animals	Surprisingly, the number one killer among animals with about 2-3 million human fatalities a year is a tiny insect. Which is it?	Bee	Mosquito	Tsetse fly	Wasp	Mosquito
Animals	How many species of rhinoceros survive in the wild?	2	5	4	3	5
Animals	Which of these is NOT a species of rhinoceros?	African Rhino	Indian Rhino	Javan Rhino	Sumatran Rhino	African Rhino
Animals	The deaths caused by rhinos in India and Nepal exceed the total number of deaths caused by leopards and tigers.	True	False			True
Animals	Throughout the period from the 1970s to the end of the 20th century, the rhinoceros numbers declined by approximately what percentage?	50%	90%	60%	75%	90%
Animals	In Asian folklore the rhinoceros would stomp out fires in the jungle.	True	False			True
Animals	What is the life span of a rhino?	15 years	40 years	20 years	30 years	40 years
Animals	The species name White Rhinoceros is the result of mis-translation of the word white.	True	False			True
Animals	What is the gestation period of a rhino?	12 months	16 months	20 months	24 months	16 months
Animals	What is the #1 reason for the rhinos decline worldwide?	Disease	Farming	Predators	Poaching	Poaching
Animals	Hyenas are only found in Africa.	True	False			False
Animals	Hyenas are most closely related to what creatures?	Badger	Bears	Cats	Mongoose	Mongoose
Animals	Hyenas were domesticated and eaten in ancient Egypt.	False	True			True
Animals	In which of these African environments are hyenas NOT found?	Desert	Forests	Mountains	Grasslands	Desert
Animals	Are male hyenas the dominant members of their groups?	Yes	No			No
Animals	Which of these is not a species of hyena?	Brown	Striped	Golden	Spotted	Golden
Animals	Are spotted hyenas considered an endangered species?	Yes	No			No
Animals	What is a group of hyenas called?	Pack	Posse	Giggle	Clan	Clan
Animals	According to the Medieval Bestiary hyenas have the ability to change their sex.	False	True			True
Animals	What country was home to the Moa?	New Zealand	Puerto Rico	Indonesia	Madagascar	New Zealand
Animals	How many species of Moa are known to have existed?	3-5	5-7	10-13	11-15	11-15
Animals	The Moa was unique because even though it was a bird it had no wings.	True	False			True
Animals	What was the main reason for the extinction of the Moa?	It was hunted by man for food.	There was not enough room on the island for so many large birds	It could easily be caught by predators.	It got to large to support itself.	It was hunted by man for food.
Animals	What animal was the number one predator of the Moa?	They had no predator they were too large	An extinct species of eagle	An extinct species of lion	An extinct species of wolf	An extinct species of eagle
Animals	Was the male Moa larger than the female?	No	Yes			No
Animals	Is the Moa related to the kiwi, a living species of flightless bird from New Zealand?	No	Yes			No
Animals	In what year were the first Moa remains discovered by Europeans?	1765	1857	1839	1724	1839
Animals	Which of these European countries is not home to any wild native reindeer?	Finland	Switzerland	Russia	Scotland	Switzerland
Animals	Both male and female reindeer grow antlers.	False	True			True
Animals	Approximately how many miles per year can the North American caribou travel?	11,000	1,000	3,000	7,000	3,000
Animals	Reindeer are strict herbivores (vegetarians).	False	True			False
Animals	Approximately how many reindeer live in Eurasia?	10 million	5 million	15 million	1 million	5 million
Animals	Siberians  use reindeer to ride on.	False	True			True
Animals	Which of these is not a species of reindeer?	Woodland carribou	Northern caribou	Arctic reindeer	Mountain reindeer	Northern caribou
Animals	Are reindeer antlers used as a food by humans?	Yes	No			Yes
Animals	How many species of pigeons and doves exist?	200	375	300	250	300
Animals	Pigeon and dove fossils are regularly found giving us a lot of information on pigeon evolution?	False	True			False
Animals	Pigeons are master nest builders.	False	True			False
Animals	Why are pigeon nests or eggs rarely seen?	Pigeons are cliff dwellers and build their nests in high places.	Pigeons do their best to conceal nests.	Pigeons are picky and only build nests high up in certain types of trees.	Pigeons dont build nests.	Pigeons are cliff dwellers and build their nests in high places.
Animals	Pigeons were so valuable in wartime that some won medals for their service.	True	False			True
Animals	Pigeons are only one of seven species to pass the mirror test, which tests if animals recognize their own reflected image.	False	True			True
Animals	What is the common name for the pigeon that we see in the city streets and in our backyards?	Mourning Dove	Rock Dove	Common Dove	Fancy Dove	Rock Dove
Animals	Dinosaurs lived during which geologic era?	Cretazoic	Protozoic	Holozoic	Mesozoic	Mesozoic
Animals	The word dinosaur is a combination of two Greek words. One word  means lizard. What does the other word mean?	Terrifying	Herbivorous	Godlike	Beautiful	Terrifying
Animals	Dinosaurs once roamed Colorado and Wyoming.	True	False			True
Animals	Name the theropod dinosaur with a long head, flat snout, and large sickle-shaped claw on the second toe of each foot.	Stegosaurus	Velociraptor	Tyrannosaur	Raptor	Velociraptor
Animals	Name the prehistoric reptile of the late Jurassic and Cretaceous period with featherless wing membrane.  It is believed this reptile flew.	Bronchialsaurus	Accipitridae Raptor	dactylic raptor	Pterodactyl	Pterodactyl
Animals	The name brontosaurus is derived from the Greek words sauros, which means lizard, combined with another word. What does the word bronte mean?	Large	Long neck	Poetic	Thunder or roar	Thunder or roar
Animals	The species Tyrannosaurus Rex  was herbivorous.	False	True			False
Animals	Which of these dinosaurs had dorsal plates and spikes?	Heloderma suspectum	H. horridum	Hydrodamalis gigans	Stegosaurus	Stegosaurus
Animals	According to history/science/geology, dinosaurs became extinct approximately how many years ago?	10 million	25 million	80 million	65 million	65 million
Animals	This reptile, endemic to new Zealand, is the only surviving rhynchocephalian.	Perisssodactyl	None of these	Kephalosaurus	Tuatara	Tuatara
Animals	Which one of these movies tells the story of Littlefoot, an Apatosaurus in search of the Great Valley where dinosaurs can live in peace?	Walking With Dinosaurs	Jurassic Park	King Kong	The Land Before Time	The Land Before Time
Animals	Which of these books about prehistoric animals and dinosaurs was written by Arthur Conan Doyle?	Dinosaur Planet	Jurassic Park	Dinotopia	The Lost World	The Lost World
Animals	In the 1980s, who voiced the character of Dino, the pet dinosaur in the animated series The Flintstones?	Frank Welker	Mel Blanc	Jean Vander Pyl	Alan Reed	Mel Blanc
Animals	In the book Jurassic Park, the fictional island Isla Nublar, where recreated dinosaur species live, is situated in which part of the world?	Near Costa Rica	Near Japan	Near Chile	Near Spain	Near Costa Rica
Animals	The BBC series Walking with Dinosaurs, which won three Emmy Awards, consisted of how many parts?	12	3	6	2	6
Animals	The design of the Japanese fictional monster Godzilla was based on the characteristics of which dinosaur?	Stegosaurus	All of these	Tyrannosaurus	Iguanodon	All of these
Animals	In the cartoon Dinosaucers, Bronto Thunder is what kind of dinosaur?	An evolved Apatosaurus	An evolved Stegosaurus	An evolved Archaeopteryx	An evolved Triceratops	An evolved Apatosaurus
Animals	What is Dinotopia, the fictional place where humans and dinosaurs live together in James Gurneys books and Hallmarks mini series?	A planet	A hidden island	A mountain	A large volcano	A hidden island
Animals	Which band recorded a song called Brontosaurus which includes the following verse:	ELO	Velvet Revolver	Velvet Underground	AFI	ELO
Animals	What kind of celestial body is the 9949 Brontosaurus?	Asteroid	Planet	Star	Black hole	Asteroid
Animals	What is the meaning of the term Triceratops, referring to a dinosaur genus discovered in 1888 in North America?	Three heads	Beast with three tails	Three-tongued beast	Three horns on the face	Three horns on the face
Animals	Which one of these dinosaurs was bigger than a dog?	Saltopus	Parvicursor	Microraptor	Triceratops	Triceratops
Animals	In the scientific classification of animals, what does the term Dinosauria signify?	A family	A superorder	A genus	A kingdom	A superorder
Animals	Fossils of a Velociraptor attacking a Protoceratops, proving that dinosaurs attacked and ate each other, were discovered in which part of the world in 1971?	Death Valley	The Gobi Desert	The Balkans	Bernissart, Belgium	The Gobi Desert
Animals	Which one of these dinosaurs was carnivorous?	Eoraptor	Diplodocus	Maiasaura	Triceratops	Eoraptor
Animals	Which one of these dinosaurs was herbivorous?	Velociraptor	Protoceratops	Tyrannosaurus	Allosaurus	Protoceratops
Animals	No dinosaur fossils have been found on which one of these continents?	Antarctica	Europe	Africa	None of these	None of these
Animals	How many fingers did the Tyrannosaurus rex have on its forelimbs?	4	3	5	2	2
Animals	The first evidence of herding behaviour among dinosaurs was discovered in 1878 in which part of the world?	USA	Argentina	Belgium	China	Belgium
Animals	Which one of these statements about the Seismosaurus, the Earth-shaking lizard, is wrong?	It could reach 33 meters in length.	It was recognized as a species in 1991.	Its hind legs were shorter than its front legs.	It was herbivorous.	Its hind legs were shorter than its front legs.
Animals	How long is the average lifespan of an elephant?	70 years	15 years	110 years	35 years	70 years
Animals	Just like humans, apes and dolphins, elephants can recognize themselves in a mirror.	False	True			True
Animals	Until what age can the female elephant (called a cow) produce offspring?	50 years	15 years	75 years	7 years	50 years
Animals	Elephants always give birth to twins.	True	False			False
Animals	Elephants express joy by spinning in circles, trumpeting, roaring, screaming, urinating, and flapping their ears. In which of these cases will an elephant not act this way?	when meeting a friend (elephant or human)	when playing games	after the death of an elderly elephant	after the birth of a new baby elephant	after the death of an elderly elephant
Animals	Elephants sometimes have stillborn births, but are not bothered by the loss since the baby was never alive.	False	True			False
Animals	Mammoths are members of the elephant family.	False	True			True
Animals	How many species of elephant exist today?	1	6	5	3	3
Animals	How many individual muscles are in an elephants trunk?	2,000	10,000	40,000	500	40,000
Animals	When swimming, an elephant will use its trunk as a snorkel.	False	True			True
Animals	Elephants intertwine their trunks with the trunks of other elephants, much like a handshake. What does an elephant not do with its trunk?	caress a baby elephant	drink through it like through a straw	place food in their mouth	grab enemies and fling them away	drink through it like through a straw
Animals	Elephants spend 16 hours a day collecting and eating food, an average of 400 lbs of food a day. But their bodies do not digest 100% of the food. How much of the food does the elephants body digest?	40%	80%	60%	20%	40%
Animals	It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.	24	0	1	7	24
Animals	An elephants brain is half the size of the human brain.	False	True			False
Animals	Through what body part can an elephant NOT hear?	feet	skin	trunk	ears	skin
Animals	Only female elephants were used in battle, because male elephants were too difficult to tame and train.	False	True			False
Animals	In Islamic history, 570 A.D. was The Year of the Elephant. Which of these happened in that year?	The Qur’an was written in book form	Muhammad received his first revelation	Muhammad was born	Muhammad became ill and died	Muhammad was born
Animals	An elephants tusks grow continuously, about 7 inches a year.	True	False			True
Animals	Which is true about elephants?	The elephant is a good jumper.	The elephant is not a protected species.	An elephants skin is 2.5 inches thick.	The elephant is a good swimmer.	The elephant is a good swimmer.
Animals	What is the only marsupial in the world that has a backwards pouch?	kangaroo	echidna	koala	wombat	wombat
Animals	Salt water crocodiles belong to the amphibian group.	True	False			False
Animals	This reef, that extends along the east coast of Australia, is home to countless animals and is considered one of the wonders of the natural world.	Great Barrier Reef	Division Reef	Australia Reef	Surfer Reef	Great Barrier Reef
Animals	The female of this species is sometimes called a Blue Flyer, because of its bluish coloration.	white heron	emu	red kangaroo	kookaburra	red kangaroo
Animals	Which one of these is NOT a type of wombat?	Common	Southern Hairy Nosed	Arid Central	Northern Hairy Nosed	Arid Central
Animals	Echidnas can swim.	True	False			True
Animals	The echidnas diet consists mainly of this group of animals.	Mammals	Insects	Fish	Birds	Insects
Animals	Where does the kookaburra, a common Australian bird, get its name from?	The food it eats	The aboriginal name for it	Its appearance	The sound it makes	The aboriginal name for it
Animals	Which of these animals is NOT native to Australia?	Frilled-neck lizard	Kangaroo	Dingo	Bilby	Dingo
Animals	What does the word Triceratops mean?	Three Big Horns	Big Horned Beast	Three Horned Head	Three Horned Face	Three Horned Face
Animals	Triceratops was a voracious meat eater and would consume hundreds of pounds of meat a day.	True	False			False
Animals	How much is Triceratops thought to have weighed?	Between 13,000 and 26,000 lbs	Between 1,000 and 9,000 lbs	Between 50,000 and 75,000 lbs	Between 110,000 and 140,000 lbs	Between 13,000 and 26,000 lbs
Animals	Is there any evidence that Triceratops lived in herds?	Yes	No			No
Animals	In what year was Triceratops first discovered?	1894	1888	1885	1906	1888
Animals	Triceratops is the official State Dinosaur of which state?	Utah	Oregon	Wyoming	Nevada	Wyoming
Animals	Triceratops fossils have been found on three continents.	True	False			False
Animals	It is thought that Triceratops was able to run how fast?	40 mph	15 mph	20 mph	30 mph	15 mph
Animals	The proper spelling of this insect’s name is preying mantis even though it is commonly referred to as praying mantis.	False	True			False
Animals	What does the word “mantis” mean?	Savage insect	Killer or hunter	Prophet or fortuneteller	Leaflike	Prophet or fortuneteller
Animals	Female mantes (the plural for mantis) are larger than males.	True	False			True
Animals	Can a praying mantis change color?	No	Yes			Yes
Animals	A large mantis can feed on birds or small mammals.	True	False			True
Animals	In what year was the Praying mantis placed on the Endangered Species List?	1972	1970	1974	1976	1976
Animals	You can go to jail for intentionally killing a praying mantis as it is an endangered species.	False	True			True
Animals	The praying mantis lives only up to one year.	False	True			True
Animals	What is the meaning of the name Stegosaurus?	Tank Lizard	Roof Lizard	Spike Lizard	Spike Tail	Roof Lizard
Animals	The Stegosaurus had no teeth.	True	False			False
Animals	How many bony plates did a Stegosaurus have embedded on its back?	11	17	9	15	17
Animals	Stegosaurus had a brain about the size of an orange.	True	False			False
Animals	What was the length of an average Stegosaurus?	20-28 feet (6-8.5 m)	30-40 feet (9.2-12.2 m)	26-30 feet (8-9.2 m)	34-38 feet (10.4-11.5 m)	26-30 feet (8-9.2 m)
Animals	Did the Stegosaurus have more bones in its tail than any other Jurassic Dinosaur?	Yes	No			Yes
Animals	What was the average weight of a Stegosaurus?	8,000 lbs. (3.6 tonnes)	6,000 lbs. (2.7 tonnes)	6,800 lbs. (3 tonnes)	7,400 lbs. (3.3 tonnes)	6,800 lbs. (3 tonnes)
Animals	The spikes on the tail of a Stegosaurus are called “thagomizers” and are a reference to the Gary Larsons comic strip Far Side.	False	True			True
Animals	What was the average height of a stegosaurus?	9 feet (2.7 m)	8 feet (2.4 m)	10 feet (3 m)	12 feet (12.6 m)	9 feet (2.7 m)
Animals	Stegosaurus had back legs that were twice as long as its front legs.	True	False			True
Animals	Stegosaurus had the strongest front legs in the dinosaur world.	True	False			True
Animals	How many subspecies of the tiger are left nowadays?	8	6	2	3	6
Animals	Is the tiger the largest cat out of the Big Cat group?	No	Yes			Yes
Animals	The Sumatran tiger is the smallest of all tigers.	False	True			True
Animals	The Caspian tiger is believed to have become extinct.	False	True			True
Animals	How many cubs are usually in a tigers litter?	1-6 cubs	3-4 cubs	1-2 cubs	2-4 cubs	3-4 cubs
Animals	How long is the gestation period of a tiger?	16 weeks	22 weeks	10 weeks	14 weeks	16 weeks
Animals	Can tigers swim up to 4 miles?	Yes	No			Yes
Animals	Are tigers known to kill more humans than any other cat?	Yes	No			Yes
Animals	Turtles can breathe in water.	False	True			False
Animals	How many living species of bears are there?	4	10	6	8	8
Animals	The Coyote is also known as The Prairie Wolf.	True	False			True
Animals	Which country does the Clydesdale horse originate from?	Scotland	Ireland	Spain	England	Scotland
Animals	What famous beer brand uses the Clydesdale horse as its mascot?	Anheuser-Busch	Fosters	Upland	Heineken	Anheuser-Busch
Animals	A Clydesdale horse can weight up to 1,000 pounds (500 kg).	True	False			False
Animals	Clydesdale horses are known for having white fur covering their hooves on all four of their legs.	True	False			True
Animals	What year was the Clydesdale Horse Society formally founded?	1925	1901	1887	1885	1887
Animals	What class of horse breed does the Clydesdale horse belong to?	Draft Horse	Carriage Horse	Farm Horse	Saddle Horse	Draft Horse
Animals	The Clydesdale is a very active horse.	True	False			True
Animals	What year was the Clydesdale horse introduced to North America?	1636	1715	1525	1800	1715
Animals	Over 600 Clydesdale horses are registered every year in the United States.	True	False			True
Animals	How long does a Clydesdale horse’s pregnancy last?	9 months	24 Months	15 Months	11 Months	11 Months
Animals	This dog breed, which originated in Mongolia and China, has very thick fluffy fur and a blue-black tongue.	Chow Chow	Jonangi	Kai Ken	Hokkaido	Chow Chow
Animals	The representatives of this dog breed are small, have long white silky fur and are also known as Roman Ladies Dogs.	Maltese	Norrbottenspets	Phalene	Mudi	Maltese
Animals	What common name does the dog breed New Guinea Highland Dog have?	Singer	Prowler	Wrestler	Swimmer	Singer
Animals	In what color does the Pekingese dog breed come?	Light gold	White	Black	All of these	All of these
Animals	The Pomeranian female dog should be a little larger than the male.	True	False			True
Animals	In what European country did the Rough Collie dog breed originate?	Scotland	Germany	Ireland	France	Scotland
Animals	What dog breed has an elongated body, very short legs, short shiny coat and a long snout?	Dogo Guatemalteco	Dachshund	English Foxhound	Elo	Dachshund
Animals	This extremely large and tall German dog breed has a very short shiny coat and strong muscular body with a majestic posture.	German Mastiff	Boarhound	Great Dane	All of these	All of these
Animals	In which European country did the Dalmatian dog breed originate?	Croatia	Netherlands	Italy	Denmark	Croatia
Animals	This dog breed, developed in England, has an egg-shaped head, small eyes, and very strong muscular body with smooth short fur and short legs.	Bull Terrier	Cairn Terrier	English Shepherd	Wire Fox Terrier	Bull Terrier
Animals	What is the literal meaning of the word carnivore which has a Latin origin?	Blood drinker	Animal killer	Meat eater	Monster	Meat eater
Animals	Which of these statements is true about carnivorous organisms in general?	They feed on vertebrate animals.	All of these	They feed through scavenging.	They feed on invertebrate animals.	All of these
Animals	What is the meaning of the term apex predator which is related to carnivorous animals?	A predator that has no predators itself.	A very skilled predator that is highly specialized in killing animals.	It is a term for a human being.	An animal which consumes the highest number of animal species.	A predator that has no predators itself.
Animals	What is the definition of the term hypercarnivore?	It is a synonym for apex carnivore.	A predator that feeds on carnivorous animals.	It is a term that refers to humans.	An animal whose diet consists exclusively of meat.	An animal whose diet consists exclusively of meat.
Animals	Which of these methods do carnivorous plants use for capturing their prey?	Rapid leaf movements	A sticky mucilage	Vacuum sucking into a bladder	All of these	All of these
Animals	What does the diet of the Great Blue Heron, found in North and Central America, consist of?	All of these	Birds	Reptiles	Small mammals	All of these
Animals	Which of these statements is true about the diet of coyotes?	All of these	60% of their diet consists of mammals.	They eat insects.	They do not eat prairie dogs.	They eat insects.
Animals	Which of these characteristics is generally associated with carnivorous animals, particularly predators?	Aggressive behavior	Claws	Sharp teeth	All of these	All of these
Animals	Which of these statements is true about the consumption of plant material by carnivores?	All of these	Carnivores consume feces of herbivores to get nutrients.	Carnivores consume some plant material in order to get minerals, vitamins and fiber.	Carnivores ingest the plant material the need along with their herbivorous prey.	All of these
Animals	What does the term facultative carnivore mean?	It is a synonym for scavenger.	Animal that has all characteristics of carnivores but is a herbivore.	A carnivore that also consumes plant food.	It is a synonym for omnivore.	A carnivore that also consumes plant food.
Animals	The box turtle has a hinge on the bottom of its shell.	False	True			True
Animals	The average lifespan of a box turtle is about 20 years.	True	False			True
Animals	Box turtles are carnivores.	False	True			False
Animals	The state of Indiana has strict laws against collecting and capturing box turtles from the wild.	False	True			True
Animals	When a box turtle is taken out of the wild, it can spend years and sometimes its entire life looking for its home.	True	False			True
Animals	Male box turtles tend to be larger than females.	True	False			True
Animals	Box turtles are safe to eat.	True	False			False
Animals	How many box turtle species are there in North America?	4	1	9	2	4
Animals	Box turtles are the most common terrestrial turtle in the eastern United States.	False	True			True
Animals	What color eyes do male box turtles commonly have?	blue	green	red	black	red
Animals	What city is known as the White Squirrel Capital of the World, since it is home to the largest colony of albino squirrels?	Marionville, Missouri	Olney, Illinois	Columbus, Ohio	Kenton, Tennessee	Olney, Illinois
Animals	Whiteflies generally feed on what?	Fruit	Insects	Leaves	Carrion	Leaves
Animals	Which of these white foxes populates the polar zone of the Northern Hemisphere?	White Fox	Arctic Fox	All of these	Snow Fox	All of these
Animals	In what novel one of the main characters is a white whale hunted by a whaling ship?	North Against South	Moby-Dick	Twenty Thousand Leagues Under the Sea	The Purchase of the North Pole	Moby-Dick
Animals	What type of insect is often referred to as a white ant, although it is not related to the ant species?	A type of small spider	Termite	Head louse	A type of albino wasp	Termite
Animals	The White Snake is a fairy tale included in the collection of fairy tales by this author.	Andrew Lang	Brothers Grimm	Oscar Wilde	Hans Christian Andersen	Brothers Grimm
Animals	What is the meaning of the figurative expression a white elephant?	Something that is idolized but that does not exist	An extraordinary person	A pricey and useless possession	A chimera	A pricey and useless possession
Animals	The representatives of the Old Danish Pointer breed are white, with markings of this other color on their coat.	Grey	Brown	All of these	Black	Brown
Animals	Which of these dog breeds originated in Hungary?	Pumi	Puli	Mudi	All of these	All of these
Animals	In what Latin American country did the Chihuahua dog breed originate?	Mexico	Cuba	Guatemala	Nicaragua	Mexico
Animals	To what group of dog breeds does the Beagle dog breed belong?	Terrier group	Toy group	Herding group	Hound group	Hound group
Animals	In what country did the American Akita dog breed originate?	Canada	Japan	China	United States	Japan
Animals	This dog breed, considered one of the first sighthound dog breeds, has very long fur and is quite tall, with long legs and ears.	Canadian Pointer	Bolognese	Afghan Hound	Airedale Terrier	Afghan Hound
Animals	In what northern country did the Siberian Husky dog breed originate?	Norway	Finland	Russia	Alaska, USA	Russia
Animals	The Papillon is a small dog breed of the Toy group. What does the word Papillon mean in French?	Butterfly	Cherry	Flower	Angel	Butterfly
Animals	This dog, which was once used as a personal defense dog, police dog and war dog, is often mistakenly believed to be very aggressive.	Field Spaniel	Doberman Pinscher	Elo	Finnish Spitz	Doberman Pinscher
Animals	This dog breed was developed as a gun dog in Canada?	Mountain Cur	Pharaoh Hound	Lakeland Terrier	Labrador Retriever	Labrador Retriever
Animals	Is the cheetah the only animal on land that can turn while running?	Yes	No			Yes
Animals	Cheetahs have been domesticated and tamed.	True	False			True
Animals	What is the mortality rate of a cheetah cub growing to adulthood?	50% die	15% die	65% die	95% die	95% die
Animals	What is another name for a nutria?	Beaver	Muskrat	Rat	Coypu	Coypu
Animals	Nutrias belong to the rodent family.	True	False			True
Animals	The nutria is native to which continent?	Europe	South America	Africa	North America	South America
Animals	What is the average weight of an adult nutria?	15-25 lbs.	5-10 lbs.	Over 30 lbs.	10-20 lbs.	10-20 lbs.
Animals	Which of the following is a characteristic of the nutria?	Webbed front feet	Huge black eyes	Large orange teeth	Flat beaver like tale	Large orange teeth
Animals	The nutria is a herbivorous animal.	True	False			True
Animals	What do farmers raise nutrias for?	Their fur is very valuable.	Their huge teeth can be sold as jewelry.	They can use their oil for shampoos and lotions.	Their milk is very nutritious.	Their fur is very valuable.
Animals	Nutria meat is lean and low in what?	Iron	Sodium	Cholesterol	Fiber	Cholesterol
Animals	What time of year do nutrias breed?	In the winter months	All year round	In the Fall	In the spring	All year round
Animals	What is a common nickname for the Yorkshire Terriers?	Yorkie	They have no nickname.	Yorkle	Shorky	Yorkie
Animals	Yorkshire Terrier show dogs have a height standard.	True	False			False
Animals	What is the approximate weight standard, that a Yorkshire Terrier show dog cannot go over?	7 lbs	10 lbs	No standard	2 lbs	No standard
Animals	Yorkshire Terriers are the smallest breed of dog in the world.	True	False			False
Animals	What is the Yorkshire Terriers average lifespan?	5 - 8 years	11 - 13 years	15 - 18 years	99 - 101 years	11 - 13 years
Animals	What place did the Yorkshire Terrier take in the AKC registered breed popularity in the USA in 2008?	1st	50th	2nd	79th	2nd
Animals	Venomous and poisonous are two different terms. What does the term venomous refer to?	Animals that inject venom	Animals that are deadly when eaten	Plants and animals that secrete venom and are harmful when touched	All of these	Animals that inject venom
Animals	Which of these statements is true about the slow loris, a primate which is both poisonous and venomous?	All of these	It covers its young with a toxin to keep them from being eaten.	It has a venomous bite.	It secretes a toxin from the glands on the inside of its elbows.	All of these
Animals	The Brazilian wandering spiders are included in Guinness World Records 2007 as the worlds most venomous spiders. How do they inject their venom?	By stinging	By biting	All of these	By urticating hairs	By biting
Animals	What creature is considered the most venomous on the planet?	Fat-tailed scorpion	Killer bee	Box jellyfish	Cone snail	Box jellyfish
Animals	The stonefish is an extremely venomous type of fish that lives in the coastal regions of Indo-Pacific oceans. How does it inject its venom?	With its sharp teeth	With its tail fin	With its pectoral fin	With its dorsal fin	With its dorsal fin
Animals	The name of cobras, which are very venomous, comes from the Portuguese cobra de capello. What does this mean?	Snake with hood	Poisonous hat	Poisonous nose	Snake with nose	Snake with hood
Animals	Venomous mammals do exist, although they are very rare. Which of these mammals is venomous?	European Mole	Cuban Solenodon	All of these	Platypus	All of these
Animals	The Northern Short-tailed Shrew is a small venomous mammal that populates this area.	Europe	Central America and the northern parts of South America	North America	North and Northeast Asia	North America
Animals	How do fire ants, a type of venomous ants, introduce their venom?	All of these	Through biting	Through biting and then spraying the wound with venom	Through stinging	Through stinging
Animals	What kind of animal is the venomous Gila monster that is indigenous to southwestern United States and northern Mexico?	Lizard	Invertebrate	Frog	Mammal	Lizard
Animals	What phylum do jellyfish belong to?	Arthropoda	Chordata	Cnidaria	Mollusca	Cnidaria
Animals	Jellyfish are vertebrates.	True	False			False
Animals	A sea wasp is a jellyfish.	True	False			True
Animals	Which of these body systems do jellyfish NOT have?	osmoregulatory	respiratory	circulatory	all of these	all of these
Animals	What is a group of jellyfish called?	herd	bloom	school	pack	bloom
Animals	Jellyfish are fish.	True	False			False
Animals	How is the body of the jellyfish oxygenated?	osmosis	active transport	diffusion	photosynthesis	diffusion
Animals	What is the deadliest jellyfish in the world?	Box Jellyfish	Lions Mane Jellyfish	Moon Jellyfish	Sea Nettle	Box Jellyfish
Animals	Do adult jellyfish reproduce asexually?	No	Yes			No
Animals	Is the wolfs scientific name Canis lupus pallipes?	True	False			False
Animals	According to statistics, how are wolves killed today?	By people	By hunters and poachers	By poison and areal hunters	All of these	All of these
Animals	How many different types of wolves including sub-species are there around the world?	Over 100	44	9	3	9
Animals	How long is the female gestation period in wolves?	90 days	25 days	63 days	200 days	63 days
Animals	What is the most amount of wolf pups ever recorded in a litter?	4 pups	5 pups	14 pups	10 pups	14 pups
Animals	At what age does a wolf usually leave its pack?	5-6 years	2-3 years	1-2 years	3-4 years	2-3 years
Animals	Wolves can live in snowy areas at certain times of the year?	False	True			True
Animals	Do wolves have a social structure?	No	Yes			Yes
Animals	The blue whale is the largest animal, but what is the largest toothed whale on the planet?	Cuviers Beaked Whale	Orca	All of these	Sperm whale	Sperm whale
Animals	What Gorilla is the largest primate on the planet?	Mountain Gorilla	Western Lowland Gorilla	Eastern Lowland Gorilla	Cross River Gorilla	Eastern Lowland Gorilla
Animals	What is the largest living bird of prey on the planet?	Philippine Eagle	Booted Eagle	Lappet-faced Vulture	Eurasian Black Vulture	Eurasian Black Vulture
Animals	What is the largest fish in existence?	Manta ray	Whale shark	Ocean sunfish	Basking shark	Whale shark
Animals	Name the largest mollusk and the largest invertebrate in the world?	Giant African snail	North Pacific Giant Octopus	Colossal squid	Giant squid	Colossal squid
Animals	What is the largest living terrestrial organism on the planet?	African Forest Elephant	Asian Elephant	African Bush Elephant	Indian Elephant	African Bush Elephant
Animals	Approximately how much does a typical female vampire bat weigh?	8 oz.	1.5 oz.	5 oz.	1 lb.	1.5 oz.
Animals	Out of 200 vampire bats, approximately how many have rabies?	5	25	10	1	1
Animals	What is the average lifespan of a vampire bat?	20-25 years	5-10 years	40-50 years	70-80 years	40-50 years
Animals	Where are vampire bats mostly found?	Australia	Mexico, Central America and South America	Asia	Africa	Mexico, Central America and South America
Animals	Vampire bats have poor eyesight.	False	True			False
Animals	Vampire bats can be quite tame, and even friendly to humans.	True	False			True
Animals	Vampire bats blood-sucking does not hurt the bitten animal.	False	True			True
Animals	A vampire bat will die if it doesnt find blood for how many nights in a row?	2	5	1	7	2
Animals	Do vampire bats ever roost alone?	No	Yes			Yes
